song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,mel_mean,mel_std,mel_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
(s)AINT with lyrics (128kbit_AAC).m4a,[112.34714674],56720,914.8387096774194,0.5657189,0.26753548,0.07157523,0.60548526,0.23037672,0.053073436,0.27096125,0.09956567,0.0099133225,12.878147,62.22842,3872.3765,5.1668415,38.894913,1512.8142,0.015166347,3.0645223,9.391296,0.23255461,0.108914174,0.011862298,2760.8411574691154,874.2527410461619,764317.8552267273,2469.8484051755063,537.6211805170359,289036.5337405313,21.046463862698218,12.139578778124317,147.36937291028627,5517.56246938794,1708.155615697111,2917795.6074375766,3.76328789266951,4.864290468119359,23.66132175823685,0.006485347201492728,0.05331783534726583,0.0028427915661181496,0.14714801422213622,0.06994721852141784,0.00489261337888298,-1.7200915e-05,0.14746052,0.021744603,-6.706722e-05,0.14370458,0.020651007,21.242513349425796,9.742293418341921,94.91228104906831
02. Weak and Powerless - A Perfect Circle (128kbit_AAC).m4a,[107.66601562],138580,1307.3584905660377,0.45078886,0.29122347,0.084811114,0.47963604,0.26478693,0.07011212,0.2475097,0.14856744,0.022072284,9.290638,70.8093,5013.9575,3.5949163,45.708797,2089.2942,0.012598778,2.3379793,5.4661474,0.18365239,0.08915019,0.007947756,1787.605756816307,729.7750534129761,532571.6285839122,2072.234537188615,554.8275421063447,307833.60147976776,23.290127371361304,10.731354092401563,115.16196065650377,3740.952378972765,1484.5374395999734,2203851.4095740444,2.1703503540388405,2.8265041084283693,7.989125474962452,-0.03319158626737019,0.11149198043160401,0.01243046170056117,0.06885313618662926,0.04261311447108498,0.0018158775249257917,4.6238068e-08,0.1395798,0.019482521,1.8218221e-05,0.10829372,0.0117275305,30.356804860308905,17.288410159557664,298.88912584509666
04. Blue - A Perfect Circle (128kbit_AAC).m4a,[117.45383523],151122,1291.6410256410256,0.3645312,0.2940825,0.086484514,0.49216908,0.24635147,0.060689043,0.2579389,0.12961814,0.016800862,7.4324894,43.14293,1861.3123,0.08726485,31.521124,993.5813,0.011620227,2.499326,6.2466307,0.17539696,0.051643275,0.002667028,2371.765973991638,731.8567864979186,535614.35594306,2509.8376392218047,379.96486115840617,144373.29571512688,22.918808091536537,11.220731093967999,125.90480628314026,5114.677405578802,1450.0136684540162,2102539.6387034734,2.176136381328032,2.50080519565989,6.254026626639499,0.030407793333216578,0.09414508679172805,0.008863297367022007,0.09223602578366873,0.04755895266161104,0.0022618539782693595,-9.401646e-07,0.1348925,0.018195983,-5.8304035e-05,0.09601948,0.0092197405,29.991846037560325,17.11784151137688,293.0204980086175
10.Counting bodies like sheep to the rhythm of the war drums (128kbit_AAC).m4a,[67.99958882],41714,887.531914893617,0.6406707,0.21434389,0.0459433,0.6239398,0.22982937,0.05282154,0.27432275,0.089890786,0.008080353,6.588548,36.697765,1346.7261,1.1692371,35.7514,1278.1625,0.0094274,3.1462066,9.898616,0.14955518,0.10033072,0.010066252,2655.058304541386,640.2770198299803,409954.662122361,2403.824143264964,420.44953878141735,176777.81466150656,19.000165178330615,12.378357845297373,153.22374294623503,5294.063820853691,1398.243429454613,1955084.6880129979,2.6930763502835617,3.6616760478205044,13.40787147918239,0.001216173368428847,0.0536007801978276,0.0028730436378158275,0.15864473230698528,0.06244439597502071,0.0038993025886851825,5.925932e-06,0.09871441,0.009744534,-0.00010776564,0.10362966,0.010739107,20.608450812949297,12.000825083276014,144.01980267938674
2Pac - Hit 'Em Up (Dirty) (Music Video) HD (128kbit_AAC).m4a,[95.703125],120810,1299.032258064516,0.42463624,0.30839574,0.095107935,0.5796328,0.24239115,0.05875347,0.273209,0.09322107,0.008690168,3.2658076,31.041945,963.60236,-0.18658836,46.217262,2136.0352,0.010896889,3.8804317,15.057751,0.10760542,0.055770915,0.003110395,2602.8697414369476,1038.9744069456265,1079467.8182880161,2645.3120823621966,543.567201347763,295465.3023810395,22.08166790402226,11.287411307794315,127.40565403132295,5605.720269643116,1881.981094806627,3541852.8412095504,1.1842359420583413,1.6097987672900522,2.591452071168572,0.009126703621031096,0.05744409393678056,0.0032998239282176684,0.10686934621710527,0.07684657916974155,0.005905396730091356,-1.968491e-05,0.07613327,0.005796275,2.987753e-06,0.07105845,0.005049304,30.163470119230485,16.932794756536108,286.7195382669767
2Pac Hit Em Up LYRICS!!!!! (128kbit_AAC).m4a,[95.703125],125240,1318.3157894736842,0.43190455,0.30730948,0.09443911,0.58462757,0.24069563,0.057934385,0.2738014,0.091466576,0.008366135,13.884009,137.43349,18887.965,3.5770898,35.04162,1227.915,0.013623952,3.917625,15.347786,0.22212821,0.11694629,0.013676434,2687.4645422919793,1032.5604516242809,1066181.0862585388,2700.027453881291,507.28842324904275,257341.54436249993,21.944292912028285,11.290756542770671,127.48118330811872,5764.548475897349,1844.7579371460943,3403131.8466635128,2.4534450221721555,3.364717351610119,11.321322856226214,0.008909377173766102,0.056286250644615426,0.0031681420116284704,0.11199044147881192,0.07860147351956522,0.006178191639446911,-0.0001248387,0.15418331,0.023772495,0.00010339998,0.15060519,0.022681924,30.611232844014797,17.289038621009702,298.9108564387651
3 Doors Down - Here Without You (Official Music Video) (152kbit_Opus).opus,[143.5546875],184938,1302.380281690141,0.28599608,0.29293197,0.08580915,0.28534847,0.29227293,0.085423455,0.19031575,0.21705587,0.04711325,8.815208,57.199867,3271.8247,-1.4978869,42.24471,1784.6155,0.013567007,2.5425887,6.464758,0.18512489,0.0829302,0.0068774186,2021.7882140526317,1108.8509286993014,1229550.3820773035,2138.8040651608117,674.0743326504671,454376.2059381726,25.077654711829407,10.54330188763962,111.1612146939052,4106.6085012335525,2117.663237967293,4484497.58943812,2.047767695426128,2.4796283346653065,6.148556678075042,-0.060179948818574365,0.22727626651402577,0.05165450132055448,0.09373393811677631,0.08008009538165549,0.00641282167633504,6.563592e-06,0.178338,0.031804442,9.139189e-05,0.061390262,0.0037687644,30.241211075979688,16.906660408224493,285.83516615902556
3 Doors Down - Here Without You [Lyrics] (128kbit_AAC).m4a,[143.5546875],180287,1430.8492063492063,0.23819354,0.29225287,0.08541174,0.29525942,0.29397976,0.0864241,0.19608542,0.2022001,0.04088488,3.575573,22.871159,523.0899,-8.805917,64.37425,4144.0444,0.012322852,2.4521358,6.0129704,0.10993683,0.06418954,0.0041202973,1532.5574112367156,948.5652776965434,899776.0860515205,1606.3681152757424,832.1020479557546,692393.8182121611,27.094508215627528,14.04623740761937,197.29678531120575,3006.2776547836447,1920.1677404722384,3687044.151550262,1.2172105424686888,1.6114963496527481,2.5969204849441323,-0.037658240594032756,0.19926179640983158,0.039705263508473164,0.07359781649090558,0.05180622978964,0.0026838854450169833,-5.152376e-06,0.11157597,0.012449197,-2.587664e-05,0.037941657,0.0014395693,33.2242536803081,14.986695525867624,224.60104278506066
3 doors down - kryptonite (lyrics) (128kbit_AAC).m4a,[99.38401442],126493,1304.0515463917525,0.36998335,0.30014747,0.0900885,0.32281172,0.27313274,0.074601494,0.21827021,0.18892181,0.035691448,13.926422,76.1908,5805.039,3.8058164,38.051113,1447.8872,0.014060212,2.2916071,5.251463,0.23721346,0.07961388,0.0063383696,2157.7519243708753,885.7051928070354,784473.6885653477,2358.925754768404,637.1351475426584,405941.1962342051,24.61531651791768,11.978115355342096,143.4752474658821,4866.20807470552,1745.1414644205654,3045518.730839955,2.855716043102887,3.3755786745864236,11.394531388322637,0.024873058623088983,0.1922172009717342,0.03694745234940805,0.09354535271139706,0.057829173973097114,0.0033442133624107325,-1.3370608e-06,0.19621275,0.038499445,4.5448753e-05,0.09515405,0.009054293,30.280017766556792,16.982443574800325,288.40338977127686
30 Seconds to Mars_ Was it a Dream (128kbit_AAC).m4a,[117.45383523],133934,1633.341463414634,0.37456116,0.31040168,0.09634921,0.6065307,0.23607323,0.055730566,0.27396098,0.09098733,0.008278695,6.8661747,65.3221,4266.9766,1.52195,41.615307,1731.8337,0.013987545,2.6207016,6.868077,0.14757715,0.09470346,0.008968744,2468.22147640535,816.2804532469535,666313.7783530517,2717.7716486452346,450.74205944397164,203168.40415179287,21.30446162725617,11.877518859216359,141.07545425104027,5616.957701691902,1784.394934125622,3184065.280933183,1.7649106747463166,2.4414683116717133,5.960767516897126,0.01241436784307067,0.07058696649654667,0.004982519839184601,0.09567591428018576,0.05845316109036907,0.0034167720414566365,-3.0629812e-06,0.10910138,0.011903111,-0.00022287841,0.10252718,0.010511823,37.92611470604502,12.350594434594186,152.5371828878289
4 Non Blondes - What's Up (Official Music Video) (152kbit_Opus).opus,[135.99917763],171373,1349.3937007874015,0.38069946,0.29544896,0.087290086,0.3977694,0.27342728,0.07476248,0.24060714,0.15950401,0.025441531,2.8956532,28.779545,828.2622,-0.460189,49.17415,2418.097,0.012248362,2.6283126,6.908027,0.09795593,0.05566011,0.003098048,2013.5841689566028,820.8691674204703,673826.190021576,2359.3145202108985,647.6618084055544,419465.81806715316,24.171451869368155,11.425964975167055,130.55267561374427,4610.913785101829,1778.607580471554,3163444.9253108758,1.0454638548403898,1.3682772501533285,1.8721826332871543,0.008132073703089937,0.16293133368797819,0.0265466194973433,0.06987429403299149,0.03934789493253952,0.001548256835622169,1.4769582e-06,0.085880354,0.007375435,3.2516422e-05,0.04837206,0.0023398562,31.332860535290237,16.61369184924084,276.0147568615315
